movie,opening_date,publication_date,url,mpaa_rating,critics_pick
11/8/2016,11/1/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/11-8-16-review.html,,0
1945,11/1/2017,10/31/2017,http://www.nytimes.com/2017/10/31/movies/1945-review-ferenc-torok.html,,0
78/52,10/13/2017,10/12/2017,http://www.nytimes.com/2017/10/12/movies/78-52-hitchcocks-shower-scene-review.html,,1
A Bad Moms Christmas,11/1/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/a-bad-moms-christmas.html,R,0
A Gay State,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/review-a-gray-state-behind-a-filmmakers-madness.html,,0
Aida's Secrets,10/20/2017,10/19/2017,http://www.nytimes.com/2017/10/19/movies/aidas-secrets-review.html,,1
All I See Is You,10/27/2017,10/26/2017,http://www.nytimes.com/2017/10/26/movies/all-i-see-is-you-review-blake-lively.html,R,0
Along for the Ride,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/along-for-the-ride-review-dennis-hopper.html,,0
Bitch,11/10/2017,11/9/2017,http://www.nytimes.com/2017/11/09/movies/bitch-review.html,,1
Blade of the Immortal,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/blade-of-the-immortal-review-takashi-miike.html,R,0
Breathe,10/13/2017,10/12/2017,http://www.nytimes.com/2017/10/12/movies/breathe-review-andrew-garfield-claire-foy-andy-serkis.html,PG-13,0
Cook Off!,11/17/2017,11/16/2017,http://www.nytimes.com/2017/11/16/movies/review-cook-off-melissa-mccarthy.html,R,0
Daddy's Home 2,11/10/2017,11/9/2017,http://www.nytimes.com/2017/11/09/movies/review-in-daddys-home-2-mel-gibson-will-ferrell-mark-wahlberg.html,PG-13,0
Dealt,10/20/2017,10/19/2017,http://www.nytimes.com/2017/10/19/movies/dealt-review-richard-turner.html,,0
For Ahkeem,10/13/2017,10/12/2017,http://www.nytimes.com/2017/10/12/movies/review-in-for-ahkeem-a-last-option-for-a-troubled-teenager.html,,0
Frank Serpico,11/1/2017,10/31/2017,http://www.nytimes.com/2017/10/31/movies/frank-serpico-review.html,,0
Geostorm,10/20/2017,10/20/2017,http://www.nytimes.com/2017/10/20/movies/geostorm-review-gerard-butler.html,PG-13,0
God's Own Country,10/25/2017,10/24/2017,http://www.nytimes.com/2017/10/24/movies/gods-own-country-review.html,,1
Happy Death Day,10/13/2017,10/12/2017,http://www.nytimes.com/2017/10/12/movies/happy-death-day-review.html,PG-13,0
Hello Again,11/8/2017,11/7/2017,http://www.nytimes.com/2017/11/07/movies/hello-again-review.html,,0
I Remember You,11/10/2017,11/9/2017,http://www.nytimes.com/2017/11/09/movies/i-remember-you-review.html,,1
Intent to Destroy,11/10/2017,11/9/2017,http://www.nytimes.com/2017/11/09/movies/intent-to-destroy-armenian-genocide-review.html,,0
It Happened in L.A.,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/it-happened-in-la-review.html,,0
Jim & Andy: The Great Beyond - Featuring a Very Special Contractually Obligated Mention of Tony Clifton,11/17/2017,11/16/2017,http://www.nytimes.com/2017/11/16/movies/review-jim-and-andy-jim-carrey.html,,1
Joan Didion: The Center Will Not Hold,10/27/2017,10/24/2017,http://www.nytimes.com/2017/10/24/movies/joan-didion-the-center-will-not-hold-review-griffin-dunne.html,,1
Jungle,10/20/2017,10/19/2017,http://www.nytimes.com/2017/10/19/movies/jungle-review-daniel-radcliffe.html,R,0
Justice League,11/17/2017,11/15/2017,http://www.nytimes.com/2017/11/15/movies/justice-league-review-wonder-woman-batman-dc-comics.html,PG-13,0
L'enfant secret,10/18/2017,10/17/2017,http://www.nytimes.com/2017/10/17/movies/lenfant-secret-review-philippe-garrel.html,,0
