,movie,opening_date,publication_date,url,mpaa_rating,critics_pick,review,sentiment_score,genre
1,11/8/2016,11/1/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/11-8-16-review.html,,0,"Spoiler alerts would be superfluous in a review of “11/8/16”: You already know the ending, and you’ve lived through the events. Nevertheless, this documentary generates ample tension as it views the last Election Day through the eyes of more than 16 people, following them during their mornings and afternoons then waiting with them for the results that night.
The diverse group includes Anthony, a former prisoner in Alabama, exonerated and voting for the first time in decades; Eric, a coal miner, and his family in West Virginia; Johnny, a union leader in Philadelphia; Calene, a mother of six in Utah who is supporting an independent presidential candidate; and others from California, Ohio and elsewhere.
We watch them at barber shops, playgrounds and dinner tables, and hear political opinions that seem prescient or misguided in retrospect. When the polls close, emotions roller coaster as the confident turn frustrated and the uncertain become enthusiastic. Many of these voters’ decisions are based on seemingly incomplete information and broad generalities. Some of their outlooks are naïve, others inspiring.
Eighteen directors are credited with the footage; Jeff Deutchman, who is listed as the curator, previously curated “11/4/08,” an examination of that Election Day. The editing here, by Jon Lefkovitz and Martha Shane, sets a speedy pace and keeps the focus on the voters rather than on Clinton and Trump, who are seldom seen.
Considering all that’s been written and said over the last year, there’s not much new to learn from “11/8/16.” But the film remains engaging for its stories, and is likely to be more instructive in the future, when passions have cooled. Judging by most people here, that won’t be soon.",0.988875393,Documentary
2,1945,11/1/2017,10/31/2017,http://www.nytimes.com/2017/10/31/movies/1945-review-ferenc-torok.html,,0,"The men in hats arrive by train and slowly walk the dusty road toward the village, following the horse-drawn flatbed that carries their cargo. The stationmaster bicycles ahead of them to issue a warning at the watering hole; the residents begin to whisper. It’s the wedding day of the son of the town clerk, who doesn’t want any trouble with elections coming up. The wedding itself seems like a shaky affair, with an uneasy groom and a bride whose previous fiancé is still hovering.
Ferenc Torok’s lean, suggestive Hungarian feature, “1945,” shot in gorgeous, high-contrast black-and-white, is a Holocaust film built, consciously or not, on a reversal of the tropes of the western, down to ticking clocks that might as well be nearing high noon. The visiting men in black hats — a father (Ivan Angelus) and his adult son (Marcell Nagy) — aren’t villains out for revenge, but Orthodox Jews, who have come to the village at the end of the war. They are transporting trunks said to be filled with perfume or cosmetics. The purpose of their journey is obscure.
The two barely speak over the course of the film; the guilty villagers talk among themselves. “We have to give it all back,” the town drunk (Jozsef Szarvas) tells the clerk, Istvan (Peter Rudolf), believing that the strangers have a connection to the town’s deported Jews. Dismissing the concern, Istvan nevertheless understands that fear; he played a pivotal role in betraying the local Jews, a sin for which his opiate-addicted wife (Eszter Nagy-Kalozy) holds him in contempt. As the film slowly reveals how the village’s veneer of civility is built over a foundation of treachery, the darkened foregrounds suggest conspirators hiding in plain sight.
Absorbing and finely wrought, “1945” is not perfect. It oversimplifies Istvan’s motivation for issuing an accusation against a friend. The modernist-style score by Tibor Szemzo is more distracting than atmospheric, especially when it riffs on Max Bruch’s widely used composition for Kol Nidre, a Yom Kippur prayer that seems inappropriate for this particular context. And by design, the movie is something of a tease, more interested in setup than in payoff. The guilt that eats at these characters resists easy closure or absolution.",0.948856259,Drama
3,78/52,10/13/2017,10/12/2017,http://www.nytimes.com/2017/10/12/movies/78-52-hitchcocks-shower-scene-review.html,,1,"In 2000, the critic Andrew Sarris, one of the original champions of “Psycho,” wrote of how a student had spotted a hidden meaning in Hitchcock’s editing of a scene with Sheriff Chambers (John McIntire). He credited the student with having given him a fresh eye on a film he thought he knew backward and forward.
One testament to the infinite richness of Hitchcock’s 1960 masterpiece is that it can sustain a film like Alexandre O. Philippe’s documentary “78/52: Hitchcock’s Shower Scene.” Although “78/52” discusses the significance of “Psycho” as a whole, Mr. Philippe’s movie is primarily devoted to a close reading of just one sequence: the 78 camera setups and 52 edits that yielded the sudden, violent, waterlogged demise of Marion Crane (Janet Leigh). Even moviegoers who know “Psycho” backward and forward — who consider it a sacred text and who have read Stephen Rebello’s excellent book “Alfred Hitchcock and the Making of ‘Psycho’” — are bound to learn something new from the movie, which addresses the shower scene from critical, historical, theoretical and technical angles, down to the blinding white of the bathroom tiles.
Many of the original cast and crew members are no longer alive and are featured only in archival interviews, although seeing Marli Renfro, the pinup model who served as Janet Leigh’s body double, is a special treat. Much of the movie’s appeal lies in the more off-kilter observations: The curator Timothy Standring discusses the particular version of “Susanna and the Elders” that hangs over Norman Bates’s peephole and notes that, of all the renditions of that scene, the one Hitchcock used strongly connotes voyeurism. Guillermo del Toro expounds on how the shower scene expresses Hitchcock’s Catholic sense of guilt — it shows Marion, who has committed adultery and theft, trying to cleanse herself of a sin that can’t be washed away.
But given that the shower scene is perhaps the most brilliantly edited sequence in movie history, it’s no surprise that the editors have much to say. Walter Murch, who took part in creating a tribute to the shower scene in “The Conversation,” annotates portions of Hitchcock’s sequence cut by cut. Amy E. Duddleston, the editor of Gus Van Sant’s 1998 not-quite replica of a remake, looks at the differences between the original and her version, pondering why hers didn’t play. Mr. Rebello relays a funny anecdote (also in his book) about how Hitchcock selected just the right variety of melon — casaba — to mimic the sound of a knife piercing flesh.
Not all the interviews are equally sharp (it’s not clear why Elijah Wood had to be here), and it’s easy to tell who is dabbling and who has pored over the sequence again and again to understand its effect. It’s a screen moment to treat with total reverence — and so enduring it could sustain “78/52: Part 2.”",0.953922133,Documentary
4,A Bad Moms Christmas,11/1/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/a-bad-moms-christmas.html,R,0,"Opposed as I am to sequels of any description, I have to allow that one can never have enough Kathryn Hahn. Add the magnificent Christine Baranski to the mix and “A Bad Moms Christmas,” while still a slog of base sight gags and lazy profanity, becomes marginally more bearable.
Only marginally, given that this pitiful follow-up to last year’s “Bad Moms” is even less able to distinguish between crass and comedic. (To the writers and directors, Jon Lucas and Scott Moore, they’re apparently the same thing.) Adding an extra schmear of bad mothers, the plot finds our three originals (Kristen Bell, Mila Kunis and Ms. Hahn) buckling under the stress of Christmas and appalled when their own mothers (played by Ms. Baranski, Cheryl Hines and Susan Sarandon) show up for the holiday.
The new arrivals, complete with a single neurosis apiece — the grifter, the clinger, the perfectionist — infantilize and infuriate their daughters, who vow to “take back Christmas.” This rebellion, staged in raucous montages in a mall and elsewhere, involves getting plastered at the food court, terrorizing Santa with cleavage and assaulting strangers and one another. Worst of all is an extended sequence where Ms. Hahn’s character gives a Brazilian wax to a prodigiously endowed male client, who verbally guides us from stem to stern with disgusting specificity. At the same time, the movie’s presumably normally gifted men are as superfluous to the proceedings as a thesaurus in the writers’ room.
Set in a suburban nightmare of oppressive expectations, “A Bad Moms Christmas” ends with its own sequel already cued up.
“I have heart cancer,” Ms. Hines’s character says at one point in a vain attempt to halt her daughter’s complaints. I think I know exactly what she meant.",0.004272824,Action
5,A Gray State,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/review-a-gray-state-behind-a-filmmakers-madness.html,,0,"After serving in Iraq and Afghanistan, David Crowley began work on a spectacularly ambitious feature film called “Gray State.” As we learn in the new documentary “A Gray State,” Mr. Crowley’s movie was supposed to be a dystopian thriller designed as a warning against authoritarian control.
Mr. Crowley made a concept trailer that appeared online in 2012 and garnered a huge following. But despite signs of progress, the film never happened. Mr. Crowley was found dead in January 2015, along with his wife and daughter, in what police concluded was a double homicide and suicide: He had shot his family and then himself. Perhaps because Mr. Crowley was drawn to the paranoid fringe (he is shown meeting and watching Alex Jones), the deaths became a cause for conspiracy theorists.
The documentary’s director, Erik Nelson (a producer on “Grizzly Man”), explores the disjunction between the charismatic filmmaker-to-be with a penchant for both self-promotion and self-documentation and a man who was, it eventually seems clear, descending into mental illness. In one scene that captures the apparent duality of Mr. Crowley, the movie features an interview with two entertainment executives who speak enthusiastically about a meeting with him. Mr. Nelson then shows them as they listen to audio recorded beforehand in which Mr. Crowley describes plans to manipulate them.
There’s a morbid fascination inherent to documentaries like “A Gray State,” which is engrossing for the reasons it’s also unsatisfying: As Adam Shambour, a friend of Mr. Crowley’s, says, it’s a mystery that answers all the major questions except “Why?”",0.295837585,Documentary
6,Aida's Secrets,10/20/2017,10/19/2017,http://www.nytimes.com/2017/10/19/movies/aidas-secrets-review.html,,1,"Directed by Alon and Shaul Schwarz, “Aida’s Secrets” chronicles one man’s late-in-life search for his brother, from whom he was separated as a toddler at the Bergen-Belsen displaced persons camp after World War II. But the remarkable tale it tells — of a family split up and dispersed to different continents, and the detective work required to figure out what had happened — turns this documentary into a fascinating mystery of reshuffled identities. In this time of mass displacement across the globe, it is a stark reminder of how traumatic the refugee experience often is.
At 3, Izak Szewelewicz was sent by his mother, Aida, to Israel from Bergen-Belsen to be raised by foster parents. “It was the best I could do,” she says simply when interviewed. Aida herself immigrated to Canada and would visit Izak on rare occasions. But she never told him that he had a younger brother, or that his father had taken the brother but that she didn’t know where. Izak learned of this when he was 67, in 2013. The Schwarzes, Izak’s nephews, assisted him while filming this unfolding account.
With the help of investigators and archives in Europe, Canada and Israel, Izak meets his brother, Shepsel, who is blind and living in Winnipeg. But the teary reunion and Shepsel’s first nervous meeting with Aida are just the start. As Izak and Shepsel try to assemble their family history, questions abound. Friends of Aida recount bits of background she had shared. At 89, though, Aida remains evasive: She doesn’t recall that man with her and the boys in that Bergen-Belsen photo; she’s fuzzy on why she moved to Canada without Shepsel and his father. The film is called “Aida’s Secrets” for good reason.",0.925442096,Documentary
7,All I See Is You,10/27/2017,10/26/2017,http://www.nytimes.com/2017/10/26/movies/all-i-see-is-you-review-blake-lively.html,R,0,"“All I See Is You” is halfway through before something resembling a plot kicks in, and even then this limp, shape-shifting psychodrama proves unable to sell it with anything approaching coherence.
Yet the director, Marc Forster (who wrote the script with Sean Conway), fashions such a languid, tipsy aesthetic around the seemingly happy marriage of Gina and James (Blake Lively and Jason Clarke) that it’s easy to keep watching. Legally blind since childhood, Gina rarely leaves their home in Bangkok, relying almost entirely on the attentive James. But when a cornea transplant restores vision to one eye, Gina discovers that her life is not quite as she imagined.
Nor is she. New erotic interests surface during a trip to Spain, where the hypersexualized marriage of her sister and brother-in-law nudges the film into seamier territory and prompts a change in Gina’s appearance. As James becomes increasingly destabilized by his wife’s transformation, the movie seems keen to linger over what can happen to a relationship when a previously dependent partner gains agency.
Instead, we’re hastened toward a nonsensical, almost illegible ending that lays waste to all this careful mood-setting. Ms. Lively is well cast, gracefully patrolling the boundary of her limited range, with Mr. Clarke less steady in the more amorphous role of someone who seems a bit off from the outset. And though the milky visual disruptions that signal Gina’s initially blurry view of the world are overdone, there’s something seductive about her journey that cries out for a filmmaker like Nicolas Roeg. In his hands, the haze of sex and danger that surrounds these two might have been revealed as more than just a tease.",0.369054927,Drama
8,Along for the Ride,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/along-for-the-ride-review-dennis-hopper.html,,0,"“No man is a hero to his valet” has been a truism since the 17th century. It does not apply, however, to Satya de la Manitou, the self-described “right-hand man” to the actor and filmmaker Dennis Hopper for over 40 years and the onscreen narrator of “Along for the Ride.” His reverence for his friend infuses this documentary, shot in somber, stately black and white (except for color clips).
He interviews many of Hopper’s friends and associates, including the art dealer Tony Shafrazi and the actor and filmmaker Dean Stockwell, with whom Hopper so memorably appeared in David Lynch’s “Blue Velvet.”
Mr. de la Manitou met Hopper in New Mexico when he was flush with the success of “Easy Rider” (1969) and had persuaded Universal Pictures to fund a metafictional art film called “The Last Movie.” The editing of that movie, in Taos, became the subject of its own documentary, “The American Dreamer” (1971), which seems to depict Mr. Hopper going mad. “The Last Movie,” as hermetically brilliant as it is indulgent, was a huge commercial failure that resulted in Mr. Hopper’s near-exile from Hollywood. Mr. de la Manitou followed.
“Along for the Ride,” directed by Nick Ebeling, does not ignore Hopper’s wild side. Mr. de la Manitou tells of Hopper alienating Taos locals and sassing cops in bars as if these were heroic acts. But Hopper here is an artist as tortured as he was torturing, as if the director is trying to redress some imbalance.
As moving as Mr. de la Manitou’s testimony sometimes is, this movie too often feels like a credulity-straining attempt at hagiography.",0.609452815,Documentary
9,Bitch,11/10/2017,11/9/2017,http://www.nytimes.com/2017/11/09/movies/bitch-review.html,,1,"When we meet Jill (Marianna Palka), the distraught mother at the center of “Bitch,” she’s on her dining table attempting to hang herself from a light fixture. Outside, the frantic sound of barking dogs fills her leafy suburb; inside, the ceaseless demands of four children and a callously philandering husband, Bill (Jason Ritter), render her pain invisible.
Like the great Mary Chapin Carpenter song “He Thinks He’ll Keep Her,” “Bitch” is about a woman who has reached the end of her leash. A satirical scream of rage against patriarchal prerogatives, this feminist horror-comedy, written and directed by Ms. Palka, has a vicious edge that can stifle your laughter. So when Jill takes to her basement, snarling and covered in her own feces, her belief that she’s the dog her family seems to think she is comes across as more tragic than funny.
The title, though, has a dual meaning; and it’s in Bill’s furiously baffled response to his wife’s abandonment of her parental responsibilities that the movie finds its footing and its humor. As she did in her gentler but equally original “Good Dick” in 2008, Ms. Palka carves a black and biting niche between a man and a woman, a space where chaos and psychological unease demand to be reckoned with. Emphasizing this, Morgan Z. Whirledge’s dense and darting score builds an atmosphere of unnerving upheaval — essential to a movie relying on mood rather than special effects.
Eventually losing momentum (but not its fealty to Jill’s desperation), “Bitch” leans heavily on Mr. Ritter’s energetic grounding of its bizarre premise. Alternately manic and maddened, Bill is like a red flag to overly smug husbands, wildly warning of the comeuppance to come.",0.581274231,Comedy
10,Blade of the Immortal,11/3/2017,11/2/2017,http://www.nytimes.com/2017/11/02/movies/blade-of-the-immortal-review-takashi-miike.html,R,0,"If there’s one constant in samurai movies, it’s that their heroes are ridiculously hard to kill, battling on through every assault short of being blown to smithereens. Imagine, then, how much tougher to dispatch is a samurai whose wounds — the physical ones, anyway — heal themselves, and you have a fair idea of the sheer volume of damage visited on Manji (Takuya Kimura), the justifiably grumpy centerpiece of Takashi Miike’s “Blade of the Immortal.”
Adding a soupçon of sorcery to the genre’s typical vengeance saga, Manji’s immortality effectively embellishes the slice-and-dice dust-ups that propel the plot and punctuate Tetsuya Oishi’s screenplay. (As it happens, Manji can be rubbed out, just exceedingly slowly — like, over years.) Based on the eponymous long-running manga series by Hiroaki Samura, the story opens on a stunning black-and-white battle that leaves Manji mortally wounded and his little sister slain.
Out of nowhere, an ancient crone appears and stuffs sacred worms into his wounds. Like slimy paramedics, the creatures rejoin his gashes and gloppily reattach his severed hand, but Manji feels more cursed than blessed. And when the movie leaps 50 years ahead and bursts into color we find him scarred, reclusive and not at all eager to help a young girl named Rin (Hana Sugisaki) avenge the murder of her parents. But Rin looks exactly like his sister, and a “True Grit” connection develops that will send them on one of the bloodiest quests in samurai history.
It’s also one of the most bonkers. Single-handedly facing down a succession of riverine hordes, Manji also has to dodge ultra-colorful weaponry — like blades cunningly designed to relocate your insides to your outsides — and an array of fancifully coifed and costumed lone opponents. These include a lithe young swordswoman, bravely defying the constraints of a purple maxi skirt and platform sandals; a masked monster with dead heads strapped to his shoulders; a fellow immortal who’s 200 years old and ready to die after seeing five wives to their graves. (A conservative number, I thought, for two centuries.)
Though not nearly as mindful or meaty as Mr. Miike’s 2011 triumph, “13 Assassins,” “Blade” is creatively gory fun. Overlong and over-the-top, the brutality finally becomes repetitive and somewhat deadening; but Mr. Miike has learned a few tricks from his many previous movies, like allowing the camera to sit still and capture the eerie silence that follows a massacre.
That stillness is a trademark of Anotsu (Sota Fukushi, terrific), the story’s big bad and also its most beautiful. Languid and slender, with an androgynous pout and a fondness for palest turquoise, the soft-voiced Anotsu leads his renegade army primarily by standing and posing. He doesn’t need to scream or gesticulate; the whole world is his runway.",0.855036587,Action
