"movie" "opening_date" "publication_date" "url" "mpaa_rating" "critics_pick"
"1" "11/8/16" "2017-11-01" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/11-8-16-review.html" "" 0
"2" "1945" "2017-11-01" "2017-10-31" "http://www.nytimes.com/2017/10/31/movies/1945-review-ferenc-torok.html" "" 0
"3" "78/52" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/78-52-hitchcocks-shower-scene-review.html" "" 1
"4" "A Bad Moms Christmas" "2017-11-01" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/a-bad-moms-christmas.html" "R" 0
"5" "A Gray State" "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/review-a-gray-state-behind-a-filmmakers-madness.html" "" 0
"6" "Aida's Secrets" "2017-10-20" "2017-10-19" "http://www.nytimes.com/2017/10/19/movies/aidas-secrets-review.html" "" 1
"7" "All I See Is You" "2017-10-27" "2017-10-26" "http://www.nytimes.com/2017/10/26/movies/all-i-see-is-you-review-blake-lively.html" "R" 0
"8" "Along for the Ride" "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/along-for-the-ride-review-dennis-hopper.html" "" 0
"9" "Bitch" "2017-11-10" "2017-11-09" "http://www.nytimes.com/2017/11/09/movies/bitch-review.html" "" 1
"10" "Blade of the Immortal" "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/blade-of-the-immortal-review-takashi-miike.html" "R" 0
"11" "Breathe" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/breathe-review-andrew-garfield-claire-foy-andy-serkis.html" "PG-13" 0
"12" "Cook Off!" "2017-11-17" "2017-11-16" "http://www.nytimes.com/2017/11/16/movies/review-cook-off-melissa-mccarthy.html" "R" 0
"13" "Daddy's Home 2" "2017-11-10" "2017-11-09" "http://www.nytimes.com/2017/11/09/movies/review-in-daddys-home-2-mel-gibson-will-ferrell-mark-wahlberg.html" "PG-13" 0
"14" "Dealt" "2017-10-20" "2017-10-19" "http://www.nytimes.com/2017/10/19/movies/dealt-review-richard-turner.html" "" 0
"15" "For Ahkeem" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/review-in-for-ahkeem-a-last-option-for-a-troubled-teenager.html" "" 0
"16" "Frank Serpico" "2017-11-01" "2017-10-31" "http://www.nytimes.com/2017/10/31/movies/frank-serpico-review.html" "" 0
